keyword;minimal_abbreviation;keyword_type
GET-REPOSITIONED-ROW;;Method
GET-RGB-VALUE;;Method
GET-ROW;;Method
GET-SAFE-USER;;Method
GET-SELECTED-WIDGET;;Method
GET-SERIALIZED;;Method
GET-SIGNATURE;;Method
GET-SOCKET-OPTION;;Method
GET-SOURCE-BUFFER;;Method
GET-TAB-ITEM;;Method
GET-TEXT-HEIGHT-CHARS;;Method
GET-TEXT-HEIGHT-PIXELS;;Method
GET-TEXT-WIDTH-CHARS;;Method
GET-TEXT-WIDTH-PIXELS;;Method
GET-TOP-BUFFER;;Method
GET-TYPE-BY-INDEX;;Method
GET-TYPE-BY-NAMESPACE-NAME;;Method
GET-TYPE-BY-QNAME;;Method
GET-URI-BY-INDEX;;Method
GET-VALUE-BY-INDEX;;Method
GET-VALUE-BY-NAMESPACE-NAME;;Method
GET-VALUE-BY-QNAME;;Method
GET-WAIT-STATE;;Method
GRAPHIC-EDGE;;Attribute
GRID-FACTOR-HORIZONTAL;;Attribute
GRID-FACTOR-VERTICAL;;Attribute
GRID-SNAP;;Attribute
GRID-UNIT-HEIGHT-CHARS;;Attribute
GRID-UNIT-HEIGHT-PIXELS;;Attribute
GRID-UNIT-WIDTH-CHARS;;Attribute
GRID-UNIT-WIDTH-PIXELS;;Attribute
GRID-VISIBLE;;Attribute
GROUP-BOX;;Attribute
GT;;Operator
HANDLE;;Attribute
HANDLE;;DataType
HANDLER;;Attribute
HAS-LOBS;;Attribute
HAS-RECORDS;;Attribute
HEIGHT;;Attribute
HEIGHT-CHARS;;Attribute
HEIGHT-PIXELS;;Attribute
HELP;;Attribute
HIDDEN;;Attribute
HONORPROKEYS;;Attribute
HONORRETURNKEY;;Attribute
HORIZONTAL;;Attribute
HTML-CHARSET;;Attribute
HTML-END-OF-LINE;;Attribute
HTML-END-OF-PAGE;;Attribute
HTML-FRAME-BEGIN;;Attribute
HTML-FRAME-END;;Attribute
HTML-HEADER-BEGIN;;Attribute
HTML-HEADER-END;;Attribute
HTML-TITLE-BEGIN;;Attribute
HTML-TITLE-END;;Attribute
HWND;;Attribute
ICFPARAMETER;;Attribute
ICON;;Attribute
IGNORE-CURRENT-MODIFIED;;Attribute
IMAGE;;Attribute
IMAGE;;Widget
IMAGE-DOWN;;Attribute
IMAGE-INSENSITIVE;;Attribute
IMAGE-UP;;Attribute
IMMEDIATE-DISPLAY;;Attribute
IMPORT-NODE;;Method
IMPORT-PRINCIPAL;;Method
INCREMENT-EXCLUSIVE-ID;;Method
INDEX;;Attribute
INDEX-INFORMATION;;Attribute
INDEX-INFORMATION;;Method
IN-HANDLE;;Attribute
INHERIT-BGCOLOR;;Attribute
INHERIT-FGCOLOR;;Attribute
INITIAL;;Attribute
INITIALIZE;;Method
INITIALIZE-DOCUMENT-TYPE;;Method
INITIATE;;Method
INNER-CHARS;;Attribute
INNER-LINES;;Attribute
INPUT-VALUE;;Attribute
INSERT;;Method
INSERT-ATTRIBUTE;;Method
INSERT-BACKTAB;;Method
INSERT-BEFORE;;Method
INSERT-FILE;;Method
INSERT-ROW;;Method
INSERT-STRING;;Method
INSERT-TAB;;Method
INSTANTIATING-PROCEDURE;;Attribute
INT64;;DataType
INTEGER;INT;DataType
INTERNAL-ENTRIES;;Attribute
INVOKE;;Method
IS-CLASS;;Attribute
IS-JSON;;Attribute
IS-MULTI-TENANT;;Attribute
IS-OPEN;;Attribute
IS-PARAMETER-SET;;Attribute
IS-PARTITIONED;;Attribute
IS-ROW-SELECTED;;Method
IS-SELECTED;;Method
IS-XML;;Attribute
ITEMS-PER-ROW;;Attribute
KEEP-CONNECTION-OPEN;;Attribute
KEEP-FRAME-Z-ORDER;;Attribute
KEEP-SECURITY-CACHE;;Attribute
KEY;;Attribute
KEYS;;Attribute
LABEL;;Attribute
LABEL-BGCOLOR;;Attribute
LABEL-DCOLOR;;Attribute
LABEL-FGCOLOR;;Attribute
LABEL-FONT;;Attribute
LABELS;;Attribute
LABELS-HAVE-COLONS;;Attribute
LANGUAGES;;Attribute
LARGE;;Attribute
LARGE-TO-SMALL;;Attribute
LAST-ASYNC-REQUEST;;Attribute
LAST-BATCH;;Attribute
LAST-CHILD;;Attribute
LAST-FORM;;Attribute
LAST-OBJECT;;Attribute
LAST-OF;;Method
LAST-PROCEDURE;;Attribute
LAST-SERVER;;Attribute
LAST-SERVER-SOCKET;;Attribute
LAST-SOCKET;;Attribute
LAST-TAB-ITEM;;Attribute
LE;;Operator
LEFT;;Attribute
LENGTH;;Attribute
LIBRARY;;Attribute
LIBRARY-CALLING-CONVENTION;;Attribute
LINE;;Attribute
LISTINGS;;Attribute
LIST-ITEM-PAIRS;;Attribute
LIST-ITEMS;;Attribute
LIST-PROPERTY-NAMES;;Method
LITERAL;;Widget
LITERAL-QUESTION;;Attribute
LOAD;;Method
LOADCONTROLS;;Method
LOAD-DOMAINS;;Method
LOAD-ICON;;Method
LOAD-IMAGE;;Method
LOAD-IMAGE-DOWN;;Method
LOAD-IMAGE-INSENSITIVE;;Method
LOAD-IMAGE-UP;;Method
LOAD-MOUSE-POINTER;;Method
LOAD-SMALL-ICON;;Method
LOCAL-HOST;;Attribute
LOCAL-NAME;;Attribute
LOCAL-PORT;;Attribute
LOCAL-VERSION-INFO;;Attribute
LOCATOR-COLUMN-NUMBER;;Attribute
LOCATOR-LINE-NUMBER;;Attribute
LOCATOR-PUBLIC-ID;;Attribute
LOCATOR-SYSTEM-ID;;Attribute
LOCATOR-TYPE;;Attribute
LOCKED;;Attribute
LOCK-REGISTRATION;;Method
LOG-AUDIT-EVENT;;Method
LOG-ENTRY-TYPES;;Attribute
LOGFILE-NAME;;Attribute
LOGGING-LEVEL;;Attribute
LOGICAL;LOG;DataType
LOGIN-EXPIRATION-TIMESTAMP;;Attribute
LOGIN-HOST;;Attribute
LOGIN-STATE;;Attribute
LOGOUT;;Method
LOG-THRESHOLD;;Attribute
LONG;;DataType
LONGCHAR;;DataType
LONGCHAR-TO-NODE-VALUE;;Method
LOOKUP;;Method
LT;;Operator
MANDATORY;;Attribute
MANUAL-HIGHLIGHT;;Attribute
MARK-NEW;;Method
MARK-ROW-STATE;;Method
MATCHES;;Operator
MAX-BUTTON;;Attribute
MAX-CHARS;;Attribute
MAX-DATA-GUESS;;Attribute
MAX-HEIGHT-CHARS;;Attribute
MAX-HEIGHT-PIXELS;;Attribute
MAXIMUM-LEVEL;;Attribute
MAX-VALUE;;Attribute
MAX-WIDTH-CHARS;;Attribute
MAX-WIDTH-PIXELS;;Attribute
MEMPTR;;DataType
MEMPTR-TO-NODE-VALUE;;Method
MENU;;Widget
MENU-BAR;;Attribute
MENU-ITEM;;Widget
MENU-KEY;;Attribute
MENU-MOUSE;;Attribute
MERGE-BY-FIELD;;Attribute
MERGE-CHANGES;;Method
MERGE-ROW-CHANGES;;Method
